"","Crop_Year","Weighted Means"
"1",1997,1062398.53493128
"2",1998,1084280.64631919
"3",1999,1123027.87421224
"4",2000,1095200.2187134
"5",2001,1235981.08756639
"6",2002,1207821.14767493
"7",2003,1217984.22108375
"8",2004,1112822.14813136
"9",2005,1139014.12211909
"10",2006,1215934.40155562
"11",2007,1229595.71699379
"12",2008,1167719.79054255
"13",2009,1517203.73293075
"14",2010,1271164.06354151
"15",2011,1303210.24109431
"16",2012,1302607.68511156
"17",2013,1388975.70773865
"18",2014,1343189.06503178
"19",2015,1226481.15693931
"20",2016,1385934.51004077
"21",2017,1179828.34999864
"22",2018,1081541.62962534
"23",2019,1224505.93550015
