,Crop_Year,Season,weighted_mean_production,Round
1,1997,Kharif     ,1062398.535,1
2,1998,Kharif     ,1084280.646,2
3,1999,Kharif     ,1123027.874,3
4,2000,Kharif     ,1095200.219,4
5,2001,Kharif     ,1235981.088,5
6,2002,Kharif     ,1207821.148,6
7,2003,Kharif     ,1217984.221,7
8,2004,Kharif     ,1112822.148,8
9,2005,Kharif     ,1139014.122,9
10,2006,Kharif     ,1215934.402,10
11,2007,Kharif     ,1229595.717,11
12,2008,Kharif     ,1167719.791,12
13,2009,Kharif     ,1517203.733,13
14,2010,Kharif     ,1271164.064,14
15,2011,Kharif     ,1303210.241,15
16,2012,Kharif     ,1302607.685,16
17,2013,Kharif     ,1388975.708,17
18,2014,Kharif     ,1343189.065,18
19,2015,Kharif     ,1226481.157,19
20,2016,Kharif     ,1385934.51,20
21,2017,Kharif     ,1179828.35,21
22,2018,Kharif     ,1081541.63,22
23,2019,Kharif     ,1224505.936,23
